 1 gdm1          1.845      0.1    0 0.0 0.0
 2 gde2          0.0308     0.01   0 0.0 0.0
 3 gdc2         -0.238      0.1    0 0.0 0.0
 4 betd          0.154      0.1    2 0.0 0.0
 5 gamd          0.166      0.1    2 0.0 0.0
 6 fdel       1236.0        0.1    2 0.0 0.0
 7 facd          1.1664     0.05   2 1.10 1.30
 8 fres0      1296.9        5.0    2 1210. 1300.
 9 vfpar(51)     3.2132     1.0    2 3.0 4.0
10 ivert(51)     2          1.0    2 0.0 0.0
11 vfpar(11)     3.6177     1.0    2 3.2 4.2
12 ivert(11)     2          1.0    2 0.0 0.0
13 fsigm(1)    478.        10.0    2 0.0 0.0
14 gspn(1)       0.         0.1    2 0.0 0.0
15 vfpar(31)     3.         1.0    2 0.0 0.0
16 ivert(31)     0          0.0    2 0.0 0.0
17 vgpar(31)     3.         1.0    2 0.0 0.0
18 iverg(31)     4          0.0    2 0.0 0.0
19 frho(1)     765.        10.0    2 0.0 0.0
20 grnp(1)      37.133      4.0    2 34. 40.
21 vkrnn(1)      2.8496     0.5    2 1.7 3.6
22 vfpar(41)     7.4639     1.0    2 0.0 0.0
23 ivert(41)     0          0.1    2 0.0 0.0
24 vgpar(41)     7.4639     1.0    2 6.1 8.5
25 iverg(41)     4          0.1    2 0.0 0.0
26 xkrho         2.8496     0.5    2 0.0 0.0
27 xkomg         0.         0.0    2 0.0 0.0
28 grpg          0.1027     0.1    2 0.0 0.0
29 gopg          0.3247     0.1    2 0.0 0.0
30 grnn          6.1994     2.0    2 0.0 0.0
31 gonn         11.5        1.0    2 0.0 0.0
32 vnnrho        7.4639     1.0    2 0.0 0.0
33 mnnrho        2          1.0    2 0.0 0.0
34 vnnomg        6.2305     1.0    2 0.0 0.0
35 mnnomg        2          1.0    2 0.0 0.0
36 vfpar(12)     0.0        1.0    2 0.0 0.0
37 vfpar(52)     0.0        1.0    2 0.0 0.0
